theta_deg,a,ff_plus,ff_cross,mismatch_plus,mismatch_cross,snr_ratio_plus,snr_ratio_cross,required_snr_plus,required_snr_cross,rho_dir_plus,rho_dir_cross,rho_obs_plus,rho_obs_cross,optimized,theta_mode
30.0,-0.99,0.9457746579257962,0.9433663571681766,0.05422534207420382,0.05663364283182337,1.2403789918067174,1.2439097530293173,13.767895983944594,13.480326433430566,107.64790957602662,106.54379926529052,133.52420555001257,132.53087103089268,True,anchor
30.0,0.0,0.9501973619575158,0.948623722829223,0.04980263804248419,0.051376277170776974,1.2298831664001408,1.2332721335301302,14.34992203696467,14.134149789325958,107.64790957602662,106.54379926529052,132.39435188571966,131.39749863431075,True,anchor
30.0,0.8,0.9538466270822364,0.953052222682566,0.04615337291776356,0.04694777731743405,1.2187519265705322,1.2216886188996539,14.892514806657772,14.768981681533269,107.64790957602662,106.54379926529052,131.1960971870729,130.16334697673472,True,anchor
30.0,0.99,0.9550367508981901,0.9542907888429353,0.04496324910180993,0.04570921115706472,1.2159599889106831,1.2188537996668853,15.083727982093293,14.962995389377097,107.64790957602662,106.54379926529052,130.89555093432355,129.86131456544524,True,anchor
30.0,0.999,0.9550169330058806,0.9542707137562393,0.04498306699411936,0.045729286243760714,1.2156259318500495,1.2185166097132551,15.080481381311891,14.959787498805827,107.64790957602662,106.54379926529052,130.85959039006724,129.8253890667114,True,anchor
37.375,-0.99,0.9583410470369952,0.9558398427089136,0.041658952963004814,0.044160157291086355,1.023114281263274,1.0258816273485845,15.657292295453619,15.217140397238158,100.35956831934983,97.76639279735734,102.67930760894406,100.29674614295388,True,anchor
37.375,0.0,0.9616421211753542,0.9592745496872248,0.03835787882464581,0.04072545031277519,1.0185564664608744,1.0210455151195448,16.303386233086385,15.831949710420801,100.35956831934983,97.76639279735734,102.22188728289568,99.82393689515747,True,anchor
37.375,0.8,0.9655271594657445,0.9635192022204091,0.03447284053425548,0.0364807977795909,1.0136453934397385,1.0156913363188744,17.180545064997567,16.709569378995187,100.35956831934983,97.76639279735734,101.72901411450967,99.30047814742386,True,anchor
37.375,0.99,0.9667214791575409,0.9647745898235082,0.03327852084245908,0.035225410176491834,1.0126649463155821,1.0148071495708944,17.480810307173428,16.999282921570245,100.35956831934983,97.76639279735734,101.63061686436939,99.21403439851463,True,anchor
37.375,0.999,0.966651703412684,0.9647022456057034,0.03334829658731597,0.03529775439429661,1.0123281372114301,1.0144598763360746,17.46282266959477,16.982166267099327,100.35956831934983,97.76639279735734,101.59681484807068,99.18008274703122,True,anchor
