theta_deg,a,mismatch_plus,mismatch_cross,optimized
30.0,0.0,0.053274570596376414,0.05368924195006142,True
30.0,0.8,0.049680152183431026,0.04748068117704185,True
30.0,0.99,0.04600171738998249,0.046216808625590855,True
30.0,0.999,0.04734472715922777,0.04967584989898788,True
30.0,-0.99,0.05501900705481688,0.05388460909257675,True
60.0,0.0,0.01556635269915485,0.022933945251828458,True
60.0,0.8,0.016981066763723685,0.02478016216915535,True
60.0,0.99,0.017351408169125837,0.025793978841205933,True
60.0,0.999,0.01746007871153743,0.02589103202025378,True
60.0,-0.99,0.014857655903505407,0.02199491399126774,True
