theta_deg,a,ff_plus,ff_cross,mismatch_plus,mismatch_cross,snr_ratio_plus,snr_ratio_cross,required_snr_plus,required_snr_cross,rho_dir_plus,rho_dir_cross,rho_obs_plus,rho_obs_cross,optimized,theta_mode
30.0,-0.99,0.9425622603368876,0.9414385526497671,0.057437739663112386,0.05856144735023294,1.233707146320415,1.2371505287882403,13.388405386354412,13.263168044705647,107.21318337933184,106.11353191668677,132.26967051484283,131.27841212231684,False,anchor
30.0,0.0,0.9453374737895757,0.9444335492420847,0.054662526210424334,0.05556645075791533,1.2236037863672982,1.2266260344938535,13.714269264571833,13.60542511006602,107.21318337933184,106.11353191668677,131.18645713144193,130.16162086110245,False,anchor
30.0,0.999,0.9500956601975419,0.9492575318953294,0.04990433980245812,0.050742468104670646,1.2094535407753728,1.2122738313166428,14.335666284899855,14.219836196583453,107.21318337933184,106.11353191668677,129.66936425593224,128.63865789118273,False,anchor
59.5,-0.99,0.9873184144450592,0.9813014889534712,0.01268158555494081,0.018698511046528754,1.0114050891715463,1.0172367148069192,28.17049585596561,23.234653609753355,77.0461621195602,62.18834694874494,77.92488046885919,63.2602697494142,False,anchor
59.5,0.0,0.9865281486378218,0.9802661408094139,0.013471851362178211,0.019733859190586123,1.0119385529956708,1.0180258444594121,27.337197786228785,22.622844190242184,77.0461621195602,62.18834694874494,77.96598180913762,63.309344418030975,False,anchor
59.5,0.999,0.9847629207433203,0.9778346333486908,0.01523707925667972,0.022165366651309193,1.013633222613818,1.0203004040858143,25.716378880446882,21.359080339796208,77.0461621195602,62.18834694874494,78.09654959927647,63.45079552123328,False,anchor
89.0,-0.99,0.6431310634301958,0.07035407615412792,0.35686893656980423,0.9296459238458721,1.541423900592392,33.665310964191164,5.840156987909462,4.4832450688994205,61.283336609478596,2.138432059166977,94.46359975789903,71.99098024765192,False,anchor
89.0,0.0,0.6444553876323604,0.07048949642376068,0.35554461236763957,0.9295105035762393,1.5375727101985412,33.46871028650771,5.848667050178414,4.483288036826012,61.283336609478596,2.138432059166977,94.22758596064548,71.57056305563967,False,anchor
89.0,0.999,0.6467129716037625,0.07109953612698361,0.3532870283962375,0.9289004638730164,1.5328741744849483,33.24391639852003,5.86330111935588,4.483482638210266,61.283336609478596,2.138432059166977,93.93964401493771,71.08985659886201,False,anchor
