theta_deg,a,ff_plus,ff_cross,mismatch_plus,mismatch_cross,snr_ratio_plus,snr_ratio_cross,required_snr_plus,required_snr_cross,rho_dir_plus,rho_dir_cross,rho_obs_plus,rho_obs_cross,optimized,theta_mode
30.0,-0.99,0.9474090011189679,0.9463698673808474,0.052590998881032136,0.053630132619152615,1.2403789918067174,1.2439097530293173,13.97432056330282,13.841969123305853,107.64790957602662,106.54379926529052,133.52420555001257,132.53087103089268,True,anchor
30.0,0.0,0.9503817004044531,0.9493422592689083,0.049618299595546866,0.05065774073109175,1.2298831664001408,1.2332721335301302,14.375873831095781,14.231413598137122,107.64790957602662,106.54379926529052,132.39435188571966,131.39749863431075,True,anchor
30.0,0.8,0.9540151998366496,0.9531361539589288,0.04598480016335038,0.04686384604107119,1.2187519265705322,1.2216886188996539,14.919143019141055,14.781883475472455,107.64790957602662,106.54379926529052,131.1960971870729,130.16334697673472,True,anchor
30.0,0.99,0.9552040628352522,0.9543481338064501,0.044795937164747834,0.045651866193549884,1.2159599889106831,1.2188537996668853,15.111223846146377,14.972170556995065,107.64790957602662,106.54379926529052,130.89555093432355,129.86131456544524,True,anchor
30.0,0.999,0.9551853324164533,0.9543283817364278,0.044814667583546686,0.045671618263572245,1.2156259318500495,1.2185166097132551,15.108137992919483,14.96900826736588,107.64790957602662,106.54379926529052,130.85959039006724,129.8253890667114,True,anchor
37.375,-0.99,0.9581547892469945,0.9558458015061886,0.04184521075300551,0.044154198493811414,1.023114281263274,1.0258816273485845,15.623150215329703,15.218143989265316,100.35956831934983,97.76639279735734,102.67930760894406,100.29674614295388,True,anchor
37.375,0.0,0.9616259159018485,0.9592773602515575,0.03837408409815146,0.04072263974844248,1.0185564664608744,1.0210455151195448,16.30001075923348,15.832484683971533,100.35956831934983,97.76639279735734,102.22188728289568,99.82393689515747,True,anchor
37.375,0.8,0.9655968025912929,0.963520258916599,0.03440319740870712,0.03647974108340102,1.0136453934397385,1.0156913363188744,17.197621072308323,16.709806891123556,100.35956831934983,97.76639279735734,101.72901411450967,99.30047814742386,True,anchor
37.375,0.99,0.9668374963377818,0.9647726713031995,0.03316250366221818,0.03522732869680045,1.0126649463155821,1.0148071495708944,17.51084495692977,16.99882831447024,100.35956831934983,97.76639279735734,101.63061686436939,99.21403439851463,True,anchor
37.375,0.999,0.9667501894927398,0.9647023472616671,0.03324981050726017,0.03529765273833285,1.0123281372114301,1.0144598763360746,17.48822814151161,16.982190281755102,100.35956831934983,97.76639279735734,101.59681484807068,99.18008274703122,True,anchor
44.75,-0.99,0.9771865516344812,0.973924935638893,0.022813448365518796,0.02607506436110696,1.0001717049374057,1.0020753760452692,21.05696163768129,19.712285775610418,92.53803486637734,87.37139553978503,92.55392410386172,87.55272404113003,True,anchor
44.75,0.0,0.9797505191400228,0.9768736682299577,0.020249480859977242,0.023126331770042308,0.9982130723219647,1.0000935148896672,22.33586717225941,20.915688423833114,92.53803486637734,87.37139553978503,92.37267609060362,87.379566066199,True,anchor
44.75,0.8,0.9825634492476732,0.980135148631355,0.01743655075232675,0.01986485136864502,0.9962558161313319,0.9973722528517254,24.05310577456592,22.54887719817563,92.53803486637734,87.37139553978503,92.1915554489924,87.14180560431458,True,anchor
